ICD10,Text
S56.1,нараняван мускул сухожили флексор пръст ръка различ палец ниво предмишниц
S66.1,нараняван мускул сухожили флексор пръст ръка различ палец ниво предмишниц ниво китк длан
S76.0,нараняван мускул сухожили ханш ниво
S16,нараняван мускул сухожили шия ниво
S24.6,нараняван нерв гръден кош
S24.3,нараняван нерв гръден кош перифер
S24.5,нараняван нерв гръден кош уточн
S44.4,нараняван нерв кожно мускул
S54.3,нараняван нерв кожно сетив предмишниц ниво
S84.9,нараняван нерв крак подбедриц
S84.8,нараняван нерв крак подбедриц уточн
S54.0,нараняван нерв лакът предмишниц ниво
S44.0,нараняван нерв лакът предмишниц ниво мишниц ниво
S54.1,нараняван нерв медианус ниво предмишниц
S44.1,нараняван нерв медианус ниво предмишниц мишниц ниво
S84.1,нараняван нерв перонеал ниво подбедриц
S54.9,нараняван нерв предмишниц ниво
S54.8,нараняван нерв предмишниц ниво уточн
S54.2,нараняван нерв радиалис предмишниц ниво
S84.0,нараняван нерв тибиал ниво подбедриц
S04.9,нараняван нерв черепномозъч
S14.6,нараняван шия
S00.9,нараняван повърхност контузи глава
S80.8,нараняван повърхност контузи крак подбедриц уточн
T00.9,нараняван повърхност контузи множеств
T00.3,нараняван повърхност контузи множеств крайни долен
T00.2,нараняван повърхност контузи множеств крайни горен
S50.8,нараняван повърхност контузи предмишниц уточн
T07,нараняван множеств локализаци
T06.8,нараняван множеств локализаци уточн
P12.4,нараняван скалп плод новород родов травма причин мониторинг електрод пробн инцизи
T09.8,нараняван тяло уточн тип
S37.5,нараняван фалопиев тръба
S37.4,нараняван яйчни
P72.9,нарушени наруш ендокрин жлеза неонатал преход
P72.8,нарушени наруш ендокрин жлеза неонатал преход уточн
P74.9,нарушени наруш метаболиз неонатал преход
P70.8,нарушени наруш метаболиз неонатал преход въглехидрат метаболиз уточн тип
P71.9,нарушени наруш метаболиз неонатал преход калци магнезий
P91.9,нарушени наруш церебрал състояни новород
R45.6,насили физическ
Z63.2,неадекват неадекватност семейн поддръжк
Z58.6,неадекват неадекватност снабдяван питейн вода
E63.1,небалансираност приеман хранител съставк
G99.1,невропат невропатич перифер нерв автоном дължа подагр
D48.5,невус 0 гигантск пигмент 1
D22.1,невус 0 класификаци локализаци клепач долен горен
D31.0,невус 0 класификаци локализаци конюнктив
D31.9,невус 0 класификаци локализаци око
D31.5,невус 0 класификаци локализаци продължени слъзн жлеза
D22.0,невус 0 класификаци локализаци продължени уст долн горн
D31.3,невус 0 класификаци локализаци продължени хориоиде
N17.8,недостатъчност недостатъч бъбреч ост уточн
J96.1,недостатъчност недостатъч дишан дихател хронич
O61.9,недостатъчност недостатъч индуциран раждан
O61.8,недостатъчност недостатъч индуциран раждан уточн
O89.6,недостатъчност недостатъч интубаци време анестези послеродов период
O29.6,недостатъчност недостатъч интубаци време анестези време бременност
O74.7,недостатъчност недостатъч интубаци време анестези време раждан родоразрешаван
K70.4,недостатъчност недостатъч чернодроб алкохол ост хронич подост чернодроб кома
P05.2,недохранван интраутерин фетал
I77.5,некроз некротич исхемич артери
T54.2,некроз некротич исхемич фосфор
D07.2,неоплази интраепителиал влагалищ vain степен iii тежк дисплази 2
E73.8,непоносимост лактоз уточн
K07.4,неправил захапк зъби
P76.9,непроходимост непроход чревн механич невроген пароксизмал постинфекциоз рефлектор новород
P76.2,непроходимост непроход чревн механич невроген пароксизмал постинфекциоз рефлектор новород дължа сгъст мляко
N14.4,нефропат токсич дължа
N91.4,олигоменоре вторич
N91.3,олигоменоре първич
P01.2,олигохидрамнион уврежда плода новород
Z31.3,оплождан подпомогн
M83.0,остеомалаци послеродов
M83.3,остеомалаци възраст дължа недоимъч хранен
M83.5,остеомалаци възраст предизвика лекарств средств
M83.1,остеомалаци старческ
M86.0,остеомиелит инфекциоз септич супуратив ост хематоген
M86.5,остеомиелит инфекциоз септич супуратив хронич стар хематоген
M90.3,остеонекроз дължа кесон болест
M90.4,остеонекроз дължа хемоглобинопат
M81.2,остеопороз инактивитет
M81.4,остеопороз предизвика лекарств средств
M82.1,остеопороз дължа ендокрин заболяван
M82.0,остеопороз дължа мултипл миелом 3
Q77.9,остеохондродисплази дефект растеж тръбест кост гръбнач стълб
M91.9,остеохондроз юношеск тазобедр става
H33.5,отделян отлепван рети разкъсван ретин уточн
R78.2,откриван кръвт веществ нормал намир кръвт кокаин
R78.4,откриван кръвт веществ нормал намир кръвт наркотич веществ
R78.1,откриван кръвт веществ нормал намир кръвт опиат
R78.5,откриван кръвт веществ нормал намир кръвт психотроп веществ
R78.6,откриван кръвт веществ нормал намир кръвт стероид агент
R78.7,откриван кръвт веществ нормал намир кръвт тежк мета анормал ниво
R78.3,откриван кръвт веществ нормал намир кръвт халюциноген
S06.1,ото оте главен мозъ травматич
H49.3,офталмоплеги пълн външ
M20.2,палец hallux ригид придоби
B25.2,панкреатит цитомегаловирус
J01.4,пансинуит хронич хиперпластич негно гноен ост
D30.1,папилом 0 бъбреч легенче уротелиал 1 доброкачеств 0
D30.3,папилом 0 пикоч мехур уротелиал преходноклетъч 1 доброкачеств 0
D33.1,папилом 0 плексус хориоидеус латерал мозъч стомахче трето мозъч стомахче 0 четвърт мозъч стомахче
D30.2,папилом 0 уретер преходноклетъч 1 доброкачеств 0
D13.2,параганглиом 1 ганглиоцитар 0 неуточн локализаци
G83.1,парали паралитич пълн непъл долен крайни
G53.3,паралич парез черепномозъч нерв множеств неопластич заболяван 1 виж новообразувани
G53.2,паралич парез черепномозъч нерв множеств саркоидоз
G82.0,параплеги долн вяла
L41.5,парапсориазис мрежовид
L41.8,парапсориазис уточн
F98.5,пелтечен
L10.5,пемфигус предизвика лекарств средств
M77.2,периартри става китк
N73.4,перитонит адхезив фибриноз излив тазов жени хронич
H72.2,перфораци перфорира нетравматич тъпанче мембра персистира посттравматич възпалени маргинал
H72.0,перфораци перфорира нетравматич тъпанче мембра персистира посттравматич възпалени централ
T41.2,пневмонит ост първич анестези свръхдоз погреш лекарств даден взето
P23.2,пневмони ост двойн мигрира гнойн септич неуточн вроден инфекциоз дължа стафилоко
P23.3,пневмони ост двойн мигрира гнойн септич неуточн вроден инфекциоз дължа стрептоко изключени група b група b
P23.4,пневмони ост двойн мигрира гнойн септич неуточн вроден инфекциоз дължа escherichia coli
P23.5,пневмони ост двойн мигрира гнойн септич неуточн вроден инфекциоз дължа pseudomonas
B39.0,пневмони ост двойн мигрира гнойн септич неуточн дължа хистоплазмоз ост
J93.9,пневмоторакс
R46.7,поведени продължени многослови излиш подробност правещ неяс причин контакт
R46.6,поведени продължени прекомер интерес повиш внимани стресов съби
R46.3,поведени продължени прекомер активност
O21.2,повръщан време усложнява бременност късн 22 пълн гестацион седми
M10.4,подагр подагроз вторич
M10.2,подагр подагроз предизвика лекарств
H62.8,подагр подагроз тофи ухо
L94.5,пойкилодерми васкулар атрофиканс
M13.0,полиартри полиартропат виж артри
M06.4,полиартри полиартропат възпалител
G61.9,полиневропат перифер възпалител
G63.1,полиневропат перифер дължа неопластич заболяван 1 виж новообразувани
K62.0,полип анус анал кана
N84.9,полип женск генитал тракт
P83.6,полип умбиликал новород
B92,последи болест hansen лепр
I69.1,последи кръвоизлив вътремозъч
I69.2,последи кръвоизлив вътречереп нетравматич
I69.8,последи мозъчносъдов болест
E64.9,последи недоимъ хранител веществ
B91,последи полиомиелит ост
T92.0,последи рана откри крайни горен
T93.0,последи рана откри крайни долен
T93.2,последи счупван крайни долен
T95.4,последи термич химич изгаря класифицира съответстви площта пораз участъ тялот
T91.4,последи травма вътреш орга гръден кош
T90.9,последи травма глава
T92.9,последи травма крайни горен
T93.9,последи травма крайни долен
T92.4,последи травма нерв перифер горен крайни рамен пояс
T93.4,последи травма нерв перифер долен крайни тазов пояс
T90.3,последи травма нерв черепномозъч
B94.0,последи трахом
B90.2,последи туберкулоз кост стави
B90.1,последи туберкулоз пикоч полов орга
B90.0,последи туберкулоз централ нерв систем
T98.2,последи усложнени травма състоян
T98.0,последи чужд тяло попадн естеств отвор тялот
M89.6,постполиомиелит остеопат
T52.3,потискан оргаз женск мъжк
Q95.3,пренареждан хромозом балансира анормал индивид автозом полов неполов хромозом
Q95.8,пренареждан хромозом балансира уточн
Z36.9,пренатал скрининг
Z36.5,пренатал скрининг изоимунизаци
Z36.4,пренатал скрининг изоставан израстван плода помощ ултразву физикал метод
Z36.3,пренатал скрининг малформаци помощ ултразву физикал метод
H91.1,пресбиакузис пресбиакузи
K13.1,прехапван буза уст
Q54.4,приапиз невенерич вроден
Z76.4,придружит болниц
M93.0,приплъзван изплъзван епифиз горн феморал нетравматич
P28.2,пристъп ата цианотич новород
Z72.9,проблем свърза начин живот
Z61.8,проблем свърза неблагоприят жизн събити детств уточн събити
Z62.6,проблем свърза неприемлив натиск страна родител
Z73.9,проблем свърза поддържан начин живот
Z73.8,проблем свърза поддържан начин живот уточн
Z65.9,проблем свърза психосоциал
P92.4,проблем свърза хранен новород прехранван
A30.8,прока уточн тип
K51.2,проктит улцероз хронич
K51.5,проктоколит мукоз
K62.2,пролапс птозира анус анал кана сфинктер
Q17.5,проминиран ушн мида вроден двустран
R19.4,промя подмя дейност черв
L56.9,промя подмя кожа ост дължа ултравиолетов радиаци
L57.9,промя подмя кожа хронич дължа нейонизира радиаци
N41.0,простатит конгестив супуратив ост
N41.8,простатит конгестив супуратив уточн тип
N39.1,протеинур персистира
Z29.9,профилактич мярк
Z29.8,профилактич мярк уточн
L29.0,пруритус сърбеж анус
L29.2,пруритус сърбеж вулв
L29.1,пруритус сърбеж скротум
E24.4,псевд cushing синдром индуцира алкохол
M96.0,псевдоартроз кост ставн съединяван артродез
O83.8,раждан едноплод родоразрешаван асистира уточн
O83.3,раждан едноплод родоразрешаван жив плод абдоминал бременност
O84.9,раждан едноплод родоразрешаван многоплод
O84.0,раждан едноплод родоразрешаван многоплод спонтан
O84.2,раждан едноплод родоразрешаван многоплод цезаров сечени
O80.1,раждан едноплод родоразрешаван спонтан седалищ
O80.0,раждан едноплод родоразрешаван спонтан тилн
O80.8,раждан едноплод родоразрешаван спонтан уточн
O68.0,раждан едноплод родоразрешаван усложн фетал ритъм нарушени
O81.0,раждан едноплод родоразрешаван форцепс нисъ
O81.1,раждан едноплод родоразрешаван форцепс среден
O81.2,раждан едноплод родоразрешаван форцепс среден ротаци
O82.8,раждан едноплод родоразрешаван цезаров уточн
P91.3,раздразнител раздразнителност мозъч новород
M23.6,разкъса раздел лигамент коля спонтан
L11.8,разстройств акантолитич уточн
F34.8,разстройств афектив настроени персистира уточн
H47.7,разстройств визуал зрител пътищ
F33.1,разстройств депресив рекурент сегаш епизод умер
F33.8,разстройств депресив рекурент уточн
L87.9,разстройств елиминаци трансепидермал
L87.8,разстройств елиминаци трансепидермал уточн
P83.9,разстройств кожа плод новород
L91.9,разстройств кожа хипертрофич
M85.9,разстройств кост плътност структур
M84.9,разстройств кост последовател
P94.9,разстройств мускул мускул тонус новород
P94.8,разстройств мускул мускул тонус новород уточн
F22.9,разстройств налуд персистира
F06.6,разстройств органич емоционал лабил астенич
L44.9,разстройств папулосквамоз
M22.9,разстройств пател
F92.0,разстройств поведени детств депресив
F91.0,разстройств поведени детств огранич семейн обстанов
F64.9,разстройств полов идентитет роля
F64.8,разстройств полов идентитет роля уточн
L75.9,разстройств потн жлеза екрин апокрин
F53.9,разстройств психич поведенческ непсихотич послеродов
F53.8,разстройств психич поведенческ непсихотич послеродов уточн
F66.8,разстройств психосексуал развити уточн
E30.9,разстройств пуберте
F84.8,разстройств развити прониква уточн
H52.6,разстройств рефракци уточн
F94.9,разстройств социал функциониран детств
F94.8,разстройств социал функциониран детств уточн
L94.9,разстройств съединител тъка локализира
F51.8,разстройств съня неорганич уточн
M22.2,разстройств феморопателар
P78.9,разстройств храносмилател систем плод новород
K55.8,разстройств черв чревно съдов уточн
F25.8,разстройств шизоафектив уточн
S71.1,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло бедр
S01.9,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло глава
S91.0,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло глезен
S21.7,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло гръден кош външ стена множеств
S21.8,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло гръден кош външ стена уточн
S81.0,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло коля
T11.1,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло крайни горен
T13.1,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло крайни долен
S81.9,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло крак подбедриц
S51.0,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло лакът
S21.0,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло млечн жлеза
T21.7,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло множеств гръден кош
S01.2,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло нос назал прегра синус
S51.9,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло предмишниц
S51.8,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло предмишниц уточн
S41.0,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло рамо
S41.1,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло ръка мишниц
S71.8,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло тазов дъно пояс
S71.0,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло тазобедр става
T09.1,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло тяло
S11.9,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло шия
S11.1,рана откри ухапван порязн разкъса пробод огнестрел проникван чужд тяло щитовид жлеза
L56.1,реакци медикамент фотоалергич
L56.0,реакци медикамент фототоксич
Z31.9,регулиран детерод функци
Z31.8,регулиран детерод функци уточн
Z45.1,регулиран инфузион помп
L57.1,ретикулоид актинов
Z50.9,рехабилитаци
Z50.0,рехабилитаци сърдеч
R19.3,ригидност ригид корем
J30.2,ринит катарал фибриноз мембраноз алергич сезон
P11.4,родоразрешаван травма нерв черепномозъч лицев
O42.0,руптур руптурира мембра спонтан преждевремен раждан нача родов дейност 24 часа
O42.1,руптур руптурира мембра спонтан преждевремен раждан продължени нача родов дейност продължени 24 часа
M62.1,руптур руптурира мускул травматич нетравматич
I51.2,руптур руптурира папилар мускул
I23.5,руптур руптурира папилар мускул настъп ост миокард инфаркт усложнени настояще заболяван
N32.4,руптур руптурира пикоч мехур нетравматич сфинктер спонтан
M66.2,руптур руптурира сухожили травматич спонтан екстензор
M66.4,руптур руптурира сухожили травматич спонтан уточн
M66.3,руптур руптурира сухожили травматич спонтан флексор
I23.3,руптур руптурира сърдеч стена ост миокард инфаркт усложнени насто заболяван
S53.2,руптур руптурира травматич лигамент радиал колатерал
S53.3,руптур руптурира травматич лигамент улнар колатерал
S33.0,руптур руптурира травматич междупрешлен диск лумбал
S23.0,руптур руптурира травматич междупрешлен диск торакал
S13.0,руптур руптурира травматич междупрешлен диск цервикал
T39.0,салицилат свръхдоз погреш веществ даден взето
A41.3,септицем причин септич генерализира супуратив haemophilus influenzae
A41.0,септицем причин септич генерализира супуратив staphylococcus стафилококов aureus
A40.2,септицем причин септич генерализира супуратив streptococcus стрептококов продължени група d
A40.8,септицем причин септич генерализира супуратив streptococcus стрептококов продължени уточн
R45.8,симптом уточн отнас емоционал състояни
Q13.5,син склера
B83.3,сингамиоз сингамоз
P14.8,синдром долн радикулар новород родов травма
G46.7,синдром лакунар
G73.2,синдром миастен неопластич заболяван 1 виж новообразувани
G46.2,синдром мозъч артери задн
G46.1,синдром мозъч артери предн
G46.0,синдром мозъч артери средн
F07.1,синдром постенцефалит
M76.3,спин заболяван трактус илео тибиалис
D76.2,спин заболяван хемофагоцит инфекци
G46.5,спин заболяван чист двигател лакунар
G46.6,спин заболяван чист сетив лакунар
M70.0,синовиит хронич крепитира ръка китк
H75.8,сифилис локализаци стади средн ухо
H45.0,сифилис локализаци стади стъкловид тяло опацитет късен кръвоизлив
M41.5,сколиоз придоби позицион вторич
M41.2,сколиоз придоби позицион идиопатич
M41.0,сколиоз придоби позицион идиопатич инфантил
M41.3,сколиоз придоби позицион гръдн аномали
M41.8,сколиоз придоби позицион уточн форм
Z13.1,скрининг захар диабет
Z12.9,скрининг новообразувани
Z12.2,скрининг новообразувани дихател орга
Z12.6,скрининг новообразувани пикоч мехур
Z12.5,скрининг новообразувани прост
Z12.0,скрининг новообразувани стома
Z12.1,скрининг новообразувани чревен тракт
L55.8,слънчев изгарян уточн
S77.1,смазван смаза смачкван бедр
S07.9,смазван смаза смачкван глава
S97.0,смазван смаза смачкван глезен
S87.0,смазван смаза смачкван коля
S87.8,смазван смаза смачкван крак подбедриц
S57.0,смазван смаза смачкван лакът
T04.9,смазван смаза смачкван множеств
S57.9,смазван смаза смачкван предмишниц
S57.8,смазван смаза смачкван предмишниц уточн
S97.1,смазван смаза смачкван пръст крак
S77.0,смазван смаза смачкван тазобедр става
S17.8,смазван смаза смачкван фаринкс
S07.1,смазван смаза смачкван череп
S17.9,смазван смаза смачкван шия
O96,смърт акушерск неуточн причин 42 дни годин раждан
R06.6,спазъм спастич спастицитет диафрагм рефлектор
M07.2,спондилит псориатич
M46.8,спондилопат възпалител уточн
Z93.4,статус пост изкуств отвор гастроинтестинал тракт
I34.2,стеноз цикатрициал митрал хронич неактив клапн уточн етиолог неревматич
M99.3,стеноз цикатрициал неврал кана кост
M99.2,стеноз цикатрициал неврал кана сублуксаци
M99.4,стеноз цикатрициал неврал кана съединител тъкан
I36.0,стеноз цикатрициал трикуспидал клапа неревматич
R30.0,странгур
N35.8,стриктур уретр предн меатал органич задн спастич уточн
N85.3,субинволуци матк послеродов
M43.4,сублуксаци атлант аксис рецидивира
M43.3,сублуксаци атлант аксис рецидивира миелопат
M43.5,сублуксаци вертебрал рецидивира
Q65.5,сублуксаци вроден бедр
Q65.3,сублуксаци вроден бедр едностран
M22.1,сублуксаци пател рецидивира
O26.7,сублуксаци симфиз пубис време бременност раждан послеродов период
S32.4,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира ацетабулум
S72.9,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира бедр кост бедр
T08,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира гръбнач прешлен прешлен гръб тяло стълб неврал дъга краче бодилообраз израстъ напре трансверзал израстъ
S12.2,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира гръбнач прешлен прешлен гръб тяло стълб неврал дъга краче бодилообраз израстъ напре трансверзал израстъ шиен уточн
S22.9,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира гръден кош кост
T10,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крайни горен
T12,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крайни долен
S82.9,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крак бедр стъпа долн част
S52.2,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира лакът кост диафиз
S52.3,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира лъчев кост тяло диафиз
S62.5,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира палец ръка
S52.9,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира предмишниц
S42.9,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира рамо рамен пояс
S92.9,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира стъпа
S82.2,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира тиби тяло фибу
S72.3,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира тяло диафиз долн трета средн трета горн трета
S72.2,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира тяло диафиз долн трета средн трета горн трета субтрохантер област част
S72.8,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира тяло диафиз долн трета средн трета горн трета уточн
S82.4,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира фибу само шиловид израстъ
P04.9,състояни майк уврежда плода новород вредн влияни предава кърм плацент
P01.9,състояни майк уврежда плода новород продължени усложнени бременност
S24.0,сътресени сегаш гръбнач мозъ гръден отдел
S34.0,сътресени сегаш гръбнач мозъ пояс отдел
S14.0,сътресени сегаш гръбнач мозъ цервикал отдел
T65.8,табакоз табациз хронич отравян тютюн
P22.1,тахипн преход новород
R63.5,телес тегл наддаван наднорм прекомер
M76.0,тендинит глутеал
M76.7,тендинит перонеал
M76.1,тендинит псоас
R30.1,тенезм ректал везикал
Z50.5,терапи речев
J03.0,тонзилит ост фоликулар гангреноз инфекциоз ези септич подост улцероз стрептококов
Z94.0,транспланта ира ира ира наличи бъбре
Z94.2,транспланта ира ира ира наличи бял дроб бели дробов
Z94.5,транспланта ира ира ира наличи кожа
Z94.6,транспланта ира ира ира наличи кост
Z94.7,транспланта ира ира ира наличи роговиц
Z94.1,транспланта ира ира ира наличи сърц
Z94.4,транспланта ира ира ира наличи черен дроб
G25.1,тремор медикаментоз предизвика
T48.4,треск йодид свръхдоз погреш веществ даден взето
A92.9,треск предава комар вирус
A25.9,треск ухапван плъх
A96.9,треск хеморагич предава артропод аренавирус
A99,треск хеморагич предава артропод вирус
A16.0,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз бял дроб кавер фиброз инфилтратив нодулар бактериологич хистологич отрицател
A16.1,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз бял дроб кавер фиброз инфилтратив нодулар извърш бактериологич хистологич изследван
A15.1,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз бял дроб кавер фиброз инфилтратив нодулар потвърд култур само
A15.3,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз бял дроб кавер фиброз инфилтратив нодулар потвърд неуточн метод
A15.2,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз бял дроб кавер фиброз инфилтратив нодулар потвърд хистологич
G01,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз менинг менингит базилар голямомозъч гръбначномозъч гръбнач
A19.2,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз милиар ост
A19.0,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз милиар ост уточн локализаци
A17.9,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз нерв систем
H48.8,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз очн нерв ствол папи
C22.4,тумор 1 мезодермал смесен 3 черен дроб
T65.2,тютюн никоти сърц
P96.5,усложн вътрематоч интервенци уврежда плода новород
N98.3,усложн изкуств оплождан осеменяван опит въвеждан ембрион зародиш предаван
N98.2,усложн изкуств оплождан осеменяван опит въвеждан яйцеклетк in vitro оплождан
I23.8,усложн ост инфаркт миокард
T79.9,усложн травма ранн
M72.3,фасциит възлест
J63.5,фиброз фиброз бял дроб атрофич капиляр хронич конфлуира масив периалвеолар перибронхиал станоз
K74.0,фиброз фиброз черен дроб
D48.3,фиброматоз ретроперитонеал
K60.5,фистул аноректал
K38.3,фистул апендикс апендикулар
N82.0,фистул везиковагинал
M25.1,фистул става
K60.0,фисур сцепен анус анал ост
K60.1,фисур сцепен анус анал хронич
M85.1,флуороз скелет
F40.8,фоби фоби уточн
R44.3,халюцинаци
R44.0,халюцинаци слухов
P54.0,хематемез новород неонатал възраст
G81.0,хемиплеги вяла
G81.1,хемиплеги спастич
P26.1,хемораг хеморагич белодроб новород масив
R04.1,хемораг хеморагич гърл
R04.9,хемораг хеморагич дихател пътищ систем
P12.2,хемораг хеморагич епикраниал субапоневротич масив родов травма
P52.9,хемораг хеморагич интракраниал нетравматич плод новород
I61.2,хемораг хеморагич интрацеребрал нетравматич хемисфер
I61.6,хемораг хеморагич интрацеребрал нетравматич множеств локализаци
P52.3,хемораг хеморагич интравентрикулар плод новород нетравматич
P54.9,хемораг хеморагич новород
I60.4,хемораг хеморагич субарахноидал нетравматич базилар артери
I60.5,хемораг хеморагич субарахноидал нетравматич вертебрал артери
I60.3,хемораг хеморагич субарахноидал нетравматич задн свързва артери
I60.2,хемораг хеморагич субарахноидал нетравматич предн свързва артери
I60.1,хемораг хеморагич субарахноидал нетравматич средн мозъч артери
P26.0,хемораг хеморагич трахеобронхиал новород
P50.2,хемораг хеморагич фетал плод плацен
P50.5,хемораг хеморагич фетал плод прерязван пъпн връв еднояйчн близна
P50.3,хемораг хеморагич фетал плод еднояйчн близна
P50.8,хемораг хеморагич фетал плод уточн
I84.9,хемороид
I84.3,хемороид външ тромбозира
I84.2,хемороид вътреш
I84.7,хемороид тромбозира
B16.1,хепатит тип b чернодроб кома делт агент коинфекци чернодроб кома
B16.0,хепатит тип b чернодроб кома делт агент коинфекци чернодроб кома чернодроб кома
B16.2,хепатит тип b чернодроб кома чернодроб кома делтаагент коинфекци
B17.1,хепатит тип c
B17.2,хепатит тип e
B18.9,хепатит хронич
B18.1,хепатит хронич тип b
K75.2,хепатит реактив неспецифич
